"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "MS SQL", "Log", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\sponsor\SponsorOffersScreen.js", "JavaScript", 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 421
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\venue\VenueBookingsScreen.js", "JavaScript", 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 463
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\venue\VenueBrowseScreen.js", "JavaScript", 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 418
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\messages\ChatScreen.js", "JavaScript", 920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 64, 1053
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\messages\ConversationsListScreen.js", "JavaScript", 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31, 563
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\notifications\NotificationsScreen.js", "JavaScript", 766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 828
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\UniversalFollowersScreen.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 186
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\UniversalFollowingScreen.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 187
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\community\CommunityFollowersListScreen.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\community\CommunityFollowingListScreen.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\community\CommunityProfileScreen.js", "JavaScript", 2586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 131, 2785
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\community\CommunityPublicEventsListScreen.js", "JavaScript", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 449
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\profile\community\CommunityPublicProfileScreen.js", "JavaScript", 1821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 65, 1913
