"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\DeletePostModal.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 8, 156
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\DiscoverFilterSheet.js", "JavaScript", 340, 0, 0, 0, 0, 0, 0, 13, 25, 378
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\DynamicStatusBar.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 11, 5, 38
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\EditorialPostCard.js", "JavaScript", 767, 0, 0, 0, 0, 0, 0, 44, 60, 871
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\EmailChangeModal.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 1, 5, 132
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\EntityTagSelector.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 21, 6, 171
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\EventCard.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\FollowerList.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 5, 5, 31
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\FullscreenVideoModal.js", "JavaScript", 491, 0, 0, 0, 0, 0, 0, 17, 37, 545
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\GradientButton.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\GradientSafeArea.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 11, 7, 79
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\HomeFeedScreen.js", "JavaScript", 380, 0, 0, 0, 0, 0, 0, 54, 42, 476
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\HomeGreetingHeader.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 23, 14, 138
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ImageUploader.js", "JavaScript", 697, 0, 0, 0, 0, 0, 0, 53, 52, 802
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\KeyboardAwareToolbar.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\BatchCropScreen.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 25, 25, 232
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\CropPresets.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 28, 11, 98
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\CropScreen.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 5, 4, 65
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\CropUtils.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\CropView.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 12, 2, 56
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MediaCrop\useCrop.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MentionInput.js", "JavaScript", -100, 0, 0, 0, 0, 0, 0, 1, -4, -103
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\MentionSearchDropdown.js", "JavaScript", 253, 0, 0, 0, 0, 0, 0, 2, 12, 267
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\OpportunityFeedCard.js", "JavaScript", 678, 0, 0, 0, 0, 0, 0, 16, 34, 728
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\PostCard.js", "JavaScript", -328, 0, 0, 0, 0, 0, 0, -14, -24, -366
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\PremiumHeader.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 20, 15, 142
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ProfilePostFeed.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 18, 22, 270
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ProfileTabIcon.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 1, 10, 95
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\QualifiedViewWrapper.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 11, 3, 20
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\RangeSlider.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 22, 209
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\RemovalRequestsModal.js", "JavaScript", 392, 0, 0, 0, 0, 0, 0, 8, 17, 417
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\RichTextEditor.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 1, 40
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ShareModal.js", "JavaScript", 389, 0, 0, 0, 0, 0, 0, 1, 19, 409
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\SharedPostCard.js", "JavaScript", 416, 0, 0, 0, 0, 0, 0, 25, 31, 472
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\SnooSpaceLogo.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 2, 3, 38
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\StyledText.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 12, 6, 31
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ThemeChip.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
